ID	Question	DBpedia	MusicBrainz	Wikidata	YAGO	LinkedMDB
11	Give me all Danish films.	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?label WHERE { ?uri rdf:type dbo:Film ; dbo:country res:Denmark; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	"SELECT ?itemLabel WHERE { ?item wdt:P31/wdt:P279* wd:Q11424. ?item wdt:P495 wd:Q35 SERVICE wikibase:label { bd:serviceParam wikibase:language ""[AUTO_LANGUAGE],en"". } }"	PREFIX res: <http://yago-knowledge.org/resource/>SELECT DISTINCT ?label WHERE {?uri a res:wikicat_Danish_films .?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "eng" )}	X
12	Which movies starring Brad Pitt were directed by Guy Ritchie?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?label WHERE { ?uri rdf:type dbo:Film ; dbo:starring res:Brad_Pitt ; dbo:director res:Guy_Ritchie; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { ?item wdt:P57 wd:Q192990 . ?item wdt:P161 wd:Q35332 . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/>PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>PREFIX info: <http://yago-knowledge.org/resource/infobox/en/>SELECT DISTINCT ?label WHERE {res:Guy_Ritchie res:directed ?uri .res:Brad_Pitt res:actedIn ?uri .?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "eng" )}	PREFIX lmdbm: <http://data.linkedmdb.org/resource/movie/>PREFIX lmdba: <http://data.linkedmdb.org/resource/actor/>PREFIX lmdbd: <http://data.linkedmdb.org/resource/director/>SELECT DISTINCT ?label  WHERE {?uri a lmdbm:film.?uri lmdbm:actor <http://data.linkedmdb.org/resource/actor/29783>.?uri lmdbm:director <http://data.linkedmdb.org/resource/director/8659>.?uri rdfs:label ?label.}
13	Give me the grandchildren of Bruce Lee.	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?label WHERE { res:Bruce_Lee dbo:child ?child . ?child <http://dbpedia.org/property/children> ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { wd:Q16397 wdt:P40/wdt:P40 ?item SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/>PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>PREFIX info: <http://yago-knowledge.org/resource/infobox/en/>SELECT DISTINCT ?label WHERE {res:Bruce_Lee res:hasChild ?uri .?uri res:hasChild ?x . ?x rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "eng" )}	X
14	Which other weapons did the designer of the Uzi develop?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX dbp: <http://dbpedia.org/property/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?label WHERE { ?uri rdf:type dbo:Weapon ; dbp:designer ?x . res:Uzi dbp:designer ?x FILTER ( ?uri != res:Uzi ). ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT ?itemLabel WHERE { wd:Q155644 wdt:P287 ?designer . ?item wdt:P287 ?designer . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/>PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>PREFIX info: <http://yago-knowledge.org/resource/infobox/en/>SELECT DISTINCT ?label WHERE {?x res:created res:Uzi .?x res:created ?uri . FILTER (?uri != res:Uzi).?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "eng" )}	X
15	Who is the owner of Universal Studios?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?label WHERE { res:Universal_Studios dbo:owner ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { wd:Q168383 wdt:P127 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/>PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>PREFIX info: <http://yago-knowledge.org/resource/infobox/en/>SELECT DISTINCT ?label WHERE {?uri res:owns res:Universal_Studios .?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "eng" )}	X
16	Which state of the USA has the highest population density?	PREFIX yago: <http://dbpedia.org/class/yago/> PREFIX dbp: <http://dbpedia.org/property/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?label WHERE { ?uri rdf:type yago:WikicatStatesOfTheUnitedStates ; dbp:densityrank ?rank; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) } ORDER BY ASC(?rank) LIMIT 1	X	X	PREFIX res: <http://yago-knowledge.org/resource/>PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>PREFIX info: <http://yago-knowledge.org/resource/infobox/en/>SELECT DISTINCT ?uri WHERE {?uri res:isLocatedIn res:United_States .?uri res:hasNumberOfPeople ?num .?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "eng" )} ORDER BY DESC(?num) LIMIT 1	X
17	Which monarchs were married to a German?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?label WHERE { ?uri rdf:type dbo:Monarch ; dbo:spouse ?spouse; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) { ?spouse dbo:birthPlace res:Germany } UNION { ?spouse dbo:birthPlace ?p . ?p dbo:country res:Germany } }	X	SELECT DISTINCT ?itemLabel WHERE { ?item wdt:P39 ?king. ?king wdt:P279* wd:Q12097 . ?item wdt:P26 ?spouse . ?spouse wdt:P27 wd:Q183 . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	X	X
18	Which organizations were founded in 1950?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbp: <http://dbpedia.org/property/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?label WHERE { ?uri rdf:type dbo:Organisation; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) { ?uri dbo:formationYear ?date } UNION { ?uri dbo:foundingYear ?date } UNION { ?uri dbp:foundation ?date } UNION { ?uri dbp:formation ?date } FILTER regex(?date, "^1950") }	X	SELECT DISTINCT ?itemLabel WHERE { ?item wdt:P31* wd:Q43229 . ?item wdt:P571 ?date . BIND (YEAR( ?date ) AS ?year) . FILTER (?year = 1950) SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	SELECT DISTINCT ?label  WHERE {     ?uri a <http://yago-knowledge.org/resource/wordnet_organization_108008335> ;         <http://yago-knowledge.org/resource/wasCreatedOnDate> ?date;         rdfs:label ?label.    FILTER regex(?date, "^1950")    FILTER langMatches( lcase(lang(?label)), "eng" ) }	X
19	Who created the comic Captain America?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?label WHERE { res:Captain_America dbo:creator ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT ?itemLabel WHERE { wd:Q190679 wdt:P170 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/>  SELECT DISTINCT  ?label WHERE {  ?s res:created res:Captain_America. ?s rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "eng" )  } 	X
23	Which spaceflights were launched from Baikonur?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?label WHERE { ?uri <http://dbpedia.org/property/launchPad> res:Baikonur_Cosmodrome; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT ?itemLabel WHERE { ?item wdt:P793 wd:Q797476 . ?item p:P793 ?statement . ?statement pq:P276 ?location . ?location wdt:P361 wd:Q177477 . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	X	X
24	Give me a list of all trumpet players that were bandleaders.	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?label WHERE { ?uri dbo:occupation res:Bandleader ; dbo:instrument res:Trumpet; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT ?itemLabel WHERE { ?item wdt:P106 wd:Q806349. ?item wdt:P1303 wd:Q8338 SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	X	X
25	Which U.S. states are in the same timezone as Utah?	PREFIX yago: <http://dbpedia.org/class/yago/> PREFIX res: <http://dbpedia.org/resource/> PREFIX dbp: <http://dbpedia.org/property/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?label WHERE { res:Utah dbp:timezone ?x . ?uri rdf:type yago:WikicatStatesOfTheUnitedStates ; dbp:timezone ?x FILTER ( ?uri != res:Utah ). ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { wd:Q829 wdt:P421 ?zone . ?item wdt:P421 ?zone . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/>PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>PREFIX info: <http://yago-knowledge.org/resource/infobox/en/>SELECT DISTINCT  ?label WHERE {res:Utah info:timezone ?tz .?uri info:timezone ?tz . FILTER(?uri != res:Utah) .?uri a res:wikicat_States_of_the_United_States .?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "eng" )} 	X
26	Which U.S. states possess gold minerals?	PREFIX yago: <http://dbpedia.org/class/yago/> PREFIX dbp: <http://dbpedia.org/property/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?label WHERE { ?uri rdf:type yago:WikicatStatesOfTheUnitedStates ; dbp:mineral ?mineral FILTER regex(?mineral, "gold", "i"). ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	X	X	X
27	Who is the daughter of Ingrid Bergman married to?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?label WHERE { res:Ingrid_Bergman dbo:child ?child . ?child <http://dbpedia.org/property/spouse> ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { wd:Q43247 wdt:P40 ?x . ?x wdt:P26 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>  PREFIX yago: <http://yago-knowledge.org/resource/> SELECT DISTINCT ?label WHERE {     yago:Ingrid_Bergman yago:hasChild ?child.    ?child yago:isMarriedTo ?spouse.    ?spouse rdfs:label ?label.    FILTER langMatches( lcase(lang(?label)), "eng" ) }	X
29	Show me all museums in London.	SELECT DISTINCT ?label WHERE { ?uri a <http://dbpedia.org/ontology/Museum> ; <http://dbpedia.org/ontology/location> <http://dbpedia.org/resource/London>; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { ?item wdt:P31 wd:Q33506 . ?item wdt:P131 wd:Q84 . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	SELECT DISTINCT ?label WHERE {     ?uri a <http://yago-knowledge.org/resource/wordnet_museum_103800563>;         rdfs:label ?label.    {?uri <http://yago-knowledge.org/resource/isLocatedIn> <http://yago-knowledge.org/resource/City_of_London>}    UNION    {?uri <http://yago-knowledge.org/resource/isLocatedIn> <http://yago-knowledge.org/resource/London>}    FILTER langMatches( lcase(lang(?label)), "eng" ) }	X
30	Which caves have more than 3 entrances?	SELECT DISTINCT ?label WHERE { ?uri a <http://dbpedia.org/ontology/Cave> ; <http://dbpedia.org/property/entranceCount> ?entrance FILTER ( ?entrance > 3 ). ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	X	X	X
31	Who is the tallest player of the Atlanta Falcons?	SELECT DISTINCT ?label WHERE { ?uri <http://dbpedia.org/ontology/team> <http://dbpedia.org/resource/Atlanta_Falcons> ; <http://dbpedia.org/ontology/height> ?h; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) } GROUP BY ?label ORDER BY DESC(?h) OFFSET 0 LIMIT 1	X	SELECT ?itemLabel WHERE { ?item wdt:P106 wd:Q19204627 . ?item wdt:P54 wd:Q272059 . ?item wdt:P2048 ?height . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } } ORDER BY DESC(?height) LIMIT 1	PREFIX res: <http://yago-knowledge.org/resource/> SELECT DISTINCT ?label WHERE {     ?uri res:isAffiliatedTo res:Atlanta_Falcons .    ?uri res:hasHeight ?h .    ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) } GROUP BY ?label ORDER BY DESC(?h) OFFSET 0 LIMIT 1	X
32	What are the top-10 action role-playing video games according to IGN?	SELECT DISTINCT ?label WHERE { ?uri <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Action_role-playing_video_games> ; <http://dbpedia.org/property/ign> ?score; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) } GROUP BY ?label ORDER BY DESC(?score) LIMIT 10	X	X	X	X
33	Give me all writers that won the Nobel Prize in literature.	SELECT DISTINCT ?label WHERE { ?uri a <http://dbpedia.org/ontology/Writer> ; <http://dbpedia.org/ontology/award> <http://dbpedia.org/resource/Nobel_Prize_in_Literature>; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { ?item wdt:P166 wd:Q37922; wdt:P106/wdt:P279? wd:Q36180  SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	X	X
34	Show me all basketball players that are higher than 2 meters.	SELECT DISTINCT ?label WHERE { ?uri a <http://dbpedia.org/ontology/BasketballPlayer> ; <http://dbpedia.org/ontology/height> ?n FILTER ( ?n > 2.0 ). ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT ?itemLabel ?height WHERE { ?item wdt:P106 wd:Q3665646 . ?item wdt:P2048 ?height . FILTER(?height > 200) SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	X	X
36	Which states border Illinois?	SELECT DISTINCT ?label WHERE { <http://dbpedia.org/resource/Illinois> <http://dbpedia.org/property/borderingstates> ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { wd:Q1204 wdt:P47 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	X	X
37	Who developed Minecraft?	SELECT DISTINCT ?label WHERE { <http://dbpedia.org/resource/Minecraft> <http://dbpedia.org/ontology/developer> ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT ?itemLabel WHERE { wd:Q49740 wdt:P178 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/>SELECT DISTINCT ?label WHERE {?uri res:created res:Minecraft .?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "eng" )}	X
38	Where did Hillel Slovak die?	SELECT DISTINCT ?label WHERE { <http://dbpedia.org/resource/Hillel_Slovak> <http://dbpedia.org/ontology/deathPlace> ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { wd:Q186924 wdt:P19 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/>SELECT DISTINCT ?label WHERE {res:Hillel_Slovak res:diedIn ?uri .?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "eng" )}	X
39	What movies does Jesse Eisenberg play in?	SELECT DISTINCT ?label WHERE { ?uri a <http://dbpedia.org/ontology/Film> ; <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Jesse_Eisenberg>; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { ?item wdt:P161 wd:Q219512. SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/>SELECT DISTINCT ?label WHERE {res:Jesse_Eisenberg res:actedIn ?uri .?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "eng" )}	PREFIX lmdbm: <http://data.linkedmdb.org/resource/movie/>PREFIX lmdba: <http://data.linkedmdb.org/resource/actor/>PREFIX lmdbd: <http://data.linkedmdb.org/resource/director/>SELECT DISTINCT ?label  WHERE {?uri a lmdbm:film.?uri lmdbm:actor <http://data.linkedmdb.org/resource/actor/36724> . ?uri rdfs:label ?label.}
40	Give all swimmers that were born in Moscow.	SELECT DISTINCT ?label WHERE { ?uri a <http://dbpedia.org/ontology/Swimmer> ; <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Moscow>; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { ?item wdt:P106 wd:Q10843402 . ?item wdt:P19 wd:Q649 . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	SELECT DISTINCT ?label  WHERE {     ?uri a <http://yago-knowledge.org/resource/wordnet_swimmer_110683349>;         rdfs:label ?label;         <http://yago-knowledge.org/resource/wasBornIn> <http://yago-knowledge.org/resource/Moscow>.    FILTER langMatches( lcase(lang(?label)), "eng" ) }	X
